Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Gap,Axial force,Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Gap,Axial force,
Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,µm,N,Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,µm,N,
1690190,0.001142,1480020000,1.50998,24.149,0.725705,0.226667,233.956,41587.1,0.725705,34365800,-0.000745797,-46079300000,1.50998,24.01,-1.50699,-0.232722,4756.92,41587.3,-1.50699,6.508458
3540460,0.00102156,3465720000,4.65309,24.13,0.659937,0.495025,490.072,41587.2,0.659937,32519400,-0.000824123,-39459500000,4.65309,24.028,-1.33663,-0.474834,4501.35,41587.3,-1.33663,6.266346
5315120,0.0010429,5096480000,7.66774,24.094,0.584088,0.765495,735.721,41587.3,0.584088,30748500,-0.000962209,-31956200000,7.66774,23.983,-1.15618,-0.738644,4256.22,41587.3,-1.15618,6.002536
7089780,0.00105266,6735120000,10.6824,24.118,0.491809,1.04854,981.369,41587.2,0.491809,28977700,-0.00105069,-27579700000,10.6824,23.979,-0.968337,-1.02745,4011.1,41587.3,-0.968337,5.71373
8825850,0.000996887,8853420000,13.6315,24.099,0.406036,1.33335,1221.68,41587.2,0.406036,27245300,-0.00111018,-24541200000,13.6315,23.99,-0.815952,-1.32438,3771.3,41587.3,-0.815952,5.4168
10561900,0.00109003,9689560000,16.5806,24.112,0.324766,1.62557,1461.99,41587.2,0.324766,25512900,-0.00116,-21993800000,16.5806,23.975,-0.688381,-1.63078,3531.5,41587.3,-0.688381,5.1104
12336600,0.00110003,11214800000,19.5953,24.081,0.224283,1.93047,1707.64,41587.3,0.224283,23742000,-0.00117884,-20140100000,19.5953,23.961,-0.54393,-1.95271,3286.37,41587.3,-0.54393,4.78847
14111200,0.00111202,12689700000,22.61,24.081,0.108195,2.24112,1953.28,41587.3,0.108195,21971100,-0.00118282,-18575100000,22.61,23.95,-0.397642,-2.28115,3041.25,41587.3,-0.397642,4.46003
15885900,0.00113103,14045500000,25.6246,24.091,0.00430531,2.55856,2198.93,41587.3,0.00430531,20200200,-0.0012041,-16776200000,25.6246,23.975,-0.282943,-2.61479,2796.12,41587.2,-0.282943,4.12639
17660600,0.00116137,15206700000,28.6393,24.068,-0.0880725,2.88161,2444.58,41587.3,-0.0880725,18429300,-0.00121848,-15124900000,28.6393,23.948,-0.184105,-2.95404,2550.99,41587.3,-0.184105,3.78714
19435200,0.00118069,16460900000,31.6539,24.081,-0.201171,3.21277,2690.23,41587.3,-0.201171,16658400,-0.00123257,-13515200000,31.6539,23.935,-0.0712985,-3.29891,2305.87,41587.3,-0.0712985,3.44227
21209900,0.00121942,17393400000,34.6686,24.083,-0.33005,3.55219,2935.88,41587.3,-0.33005,14887500,-0.00125638,-11849600000,34.6686,23.962,0.0473143,-3.64933,2060.74,41587.3,0.0473143,3.09185
22984500,0.00125804,18270100000,37.6832,24.066,-0.447075,3.90075,3181.53,41587.4,-0.447075,13116700,-0.00127008,-10327400000,37.6832,23.932,0.143323,-4.00479,1815.61,41587.3,0.143323,2.73639
24720600,0.00129284,19121100000,40.6324,24.034,-0.551564,4.25262,3421.84,41587.4,-0.551564,11384300,-0.00128801,-8838670000,40.6324,23.947,0.227216,-4.3579,1575.81,41587.3,0.227216,2.38328
26456700,0.00134037,19738300000,43.5815,24.027,-0.68676,4.61652,3662.14,41587.4,-0.68676,9651870,-0.00130994,-7368150000,43.5815,23.913,0.326671,-4.71547,1336.01,41587.3,0.326671,2.02571
28231400,0.00139809,20192800000,46.5961,24.043,-0.850164,5.00181,3907.79,41587.3,-0.850164,7880980,-0.00132382,-5953200000,46.5961,23.903,0.431405,-5.08534,1090.89,41587.4,0.431405,1.65584
30006000,0.00145827,20576400000,49.6108,24.023,-1.00545,5.40407,4153.44,41587.4,-1.00545,6110090,-0.00133816,-4566050000,49.6108,23.912,0.521066,-5.46001,845.761,41587.4,0.521066,1.28117
31780700,0.00153856,20656100000,52.6254,24.002,-1.16006,5.82684,4399.09,41587.4,-1.16006,4339200,-0.00135722,-3197130000,52.6254,23.908,0.602872,-5.83975,600.634,41587.4,0.602872,0.90143
33555300,0.00165315,20297900000,55.6401,24.065,-1.36044,6.27726,4644.74,41587.2,-1.36044,2568310,-0.00137945,-1861830000,55.6401,23.912,0.691348,-6.22523,355.506,41587.4,0.691348,0.51595
35252800,0.00179406,19649700000,58.5237,24.025,-1.59419,6.74118,4879.71,41587.3,-1.59419,799983,-0.00139601,-573049000,58.6548,23.918,0.76938,-6.61628,110.734,41587.4,0.76938,0.1249
